,,Control,,Treatment,,Total,
,,N,%,N,%,N,%
Missing TOI 1,No,97,100%,100,100%,197,100%
,,,,,,,
Missing TOI 2,No,92,94.80%,86,86%,178,90.40%
,Yes,5,5.20%,14,14%,19,9.60%
,,,,,,,
Missing TOI 3,No,70,72.20%,61,61%,131,66.50%
,Yes,27,27.80%,39,39%,66,33.50%
,,,,,,,
Missing TOI 4,No,35,36.10%,30,30%,65,33%
,Yes,62,63.90%,70,70%,132,67%
,,,,,,,
TOI 1 Mean (sd),,77.4 (13.2),,73.6 (14),,75.5 (13.7),
TOI 2 Mean (sd),,65.8 (14.1),,62.2 (17),,64.1 (15.6),
TOI 3 Mean (sd),,66.1 (14.3),,58.4 (17.3),,62.5 (16.2),
TOI 4 Mean (sd),,66.2 (18),,65.9 (16.1),,66.1 (17),
,,,,,,,
Total,,97,49.20%,100,50.80%,197,
